SGL,Transect..,TransectMeterPlot,Genus,Species,Species.common,Daubenmeyer,Present,Heading,BurnDate,YearSinceBurn,CollectedDate,DateCollected,Time.Category,Burn.Unit,Days.Since.Burn,Notes
211,1,15m,Vaccinium,,,0,absent,?,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,1,20m,Rubus,flagellaris,northern dewberry,0,absent,?,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,1,20m,Gaylussacia,,,0,absent,?,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,1,20m,Gaultheria,,,0,absent,?,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,1,20m,Vaccinium,,,0,absent,?,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,2,5m,Gaylussacia,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,2,5m,Gaultheria,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,2,5m,Vaccinium,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,2,10m,Gaylussacia,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,2,10m,Gaultheria,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,2,10m,Vaccinium,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,2,15m,Gaylussacia,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,2,15m,Gaultheria,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,2,15m,Vaccinium,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,2,20m,Rubus,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,2,20m,Gaylussacia,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,2,20m,Gaultheria,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,2,20m,Vaccinium,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,3,5m,Vaccinium,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,3,5m,Gaylussacia,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,3,5m,Gaultheria,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,3,10m,Vaccinium,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,3,10m,Gaylussacia,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,3,10m,Gaultheria,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,3,15m,Rubus,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,3,15m,Vaccinium,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,3,15m,Gaylussacia,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,3,15m,Gaultheria,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,3,20m,Rubus,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,3,20m,Vaccinium,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,3,20m,Gaylussacia,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,3,20m,Gaultheria,,,0,absent,,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
210,4,5m,Rubus,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,4,5m,Vaccinium,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,4,5m,Gaylussacia,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,4,5m,Gaultheria,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,4,10m,Vaccinium,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,4,10m,Gaylussacia,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,4,10m,Gaultheria,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,4,15m,Rubus,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,4,15m,Vaccinium,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,4,15m,Gaylussacia,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,4,15m,Gaultheria,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,4,20m,Rubus,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,4,20m,Vaccinium,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,4,20m,Gaylussacia,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,4,20m,Gaultheria,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,5m,Rubus,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,5m,Vaccinium,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,5m,Gaylussacia,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,5m,Gaultheria,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,10m,Rubus,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,10m,Vaccinium,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,10m,Gaylussacia,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,10m,Gaultheria,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,15m,Rubus,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,15m,Vaccinium,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,15m,Gaylussacia,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,15m,Gaultheria,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,20m,Rubus,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,20m,Vaccinium,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,20m,Gaylussacia,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,5,20m,Gaultheria,,,0,absent,177,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,87,
210,6,5m,Rubus,,,0,absent,,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,,
210,6,5m,Vaccinium,,,0,absent,,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,,
210,6,5m,Gaylussacia,,,0,absent,,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,,
210,6,5m,Gaultheria,,,0,absent,,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,,
210,6,10m,Rubus,,,0,absent,,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,,
210,6,10m,Vaccinium,,,0,absent,,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,,
210,6,10m,Gaylussacia,,,0,absent,,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,,
210,6,20m,Rubus,,,0,absent,,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,,
210,6,20m,Vaccinium,,,0,absent,,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,,
210,6,20m,Gaylussacia,,,0,absent,,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,,
210,6,20m,Gaultheria,,,0,absent,,3/12/2025,3/12/2025,6/7/2025,6/7/2025,A,210-2,,
38,9,20m,Gaylussacia,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,9,20m,Gaultheria,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,9,20m,Rubus,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,9,15m,Gaylussacia,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,9,15m,Gaultheria,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,9,10m,Gaylussacia,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,9,10m,Gaultheria,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,9,10m,Rubus,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,9,5m,Gaylussacia,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,9,5m,Gaultheria,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,9,5m,Rubus,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,8,20m,Gaylussacia,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,8,20m,Gaultheria,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,8,20m,Rubus,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,8,15m,Gaultheria,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,8,15m,Rubus,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,8,10m,Gaultheria,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,8,10m,Rubus,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,8,5m,Gaultheria,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,7,20m,Gaylussacia,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,7,20m,Gaultheria,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,7,20m,Rubus,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,7,15m,Gaylussacia,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,7,15m,Gaultheria,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,7,15m,Rubus,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,7,10m,Gaylussacia,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,7,10m,Gaultheria,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,7,10m,Rubus,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,7,5m,Gaylussacia,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,7,5m,Gaultheria,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
38,7,5m,Rubus,,,0,absent,,6/17/2014,6/17/2014,6/18/2025,6/18/2025,D,38-2,,
183,7,20m,Vaccinium,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,7,15m,Gaultheria,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,7,15m,Rubus,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,7,15m,Vaccinium,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,7,10m,Vaccinium,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,7,10m,Gaylussacia,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,7,5m,Gaylussacia,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,8,20m,Gaylussacia,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,8,20m,Gaultheria,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,8,15m,Gaylussacia,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,8,15m,Gaultheria,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,8,10m,Vaccinium,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,8,10m,Gaylussacia,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,8,10m,Gaultheria,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,8,5m,Gaylussacia,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,8,5m,Gaultheria,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,5m,Vaccinium,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,5m,Gaylussacia,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,5m,Gaultheria,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,5m,Rubus,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,10m,Vaccinium,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,10m,Gaylussacia,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,10m,Gaultheria,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,10m,Rubus,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,15m,Gaylussacia,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,15m,Gaultheria,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,15m,Rubus,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,20m,Vaccinium,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,20m,Gaylussacia,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,20m,Gaultheria,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
183,9,20m,Rubus,,,0,absent,,4/29/2015,4/29/2015,8/16/2025,8/16/2025,D,183-2,,
211,7,20m,Gaylussacia,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,7,20m,Gaultheria,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,7,15m,Gaylussacia,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,7,15m,Gaultheria,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,7,10m,Gaylussacia,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,7,10m,Gaultheria,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,7,10m,Rubus,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,7,5m,Gaultheria,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,7,5m,Gaylussacia,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,8,20m,Rubus,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,8,20m,Gaylussacia,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,8,15m,Rubus,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,8,15m,Gaylussacia,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,8,10m,Rubus,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,8,10m,Gaylussacia,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,8,5m,Vaccinium,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,8,5m,Gaylussacia,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,8,5m,Gaultheria,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,9,20m,Vaccinium,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,9,20m,Gaylussacia,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,9,20m,Gaultheria,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,9,15m,Vaccinium,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,9,15m,Gaylussacia,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,9,15m,Gaultheria,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,9,10m,Vaccinium,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,9,10m,Gaylussacia,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,9,10m,Gaultheria,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,9,5m,Vaccinium,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,9,5m,Gaylussacia,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
211,9,5m,Gaultheria,,,0,absent,,3/23/2021,3/23/2021,5/25/2025,5/25/2025,B,211-3,,
38,1,20m,Gaylussacia,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,1,15m,Rubus,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,1,15m,Gaylussacia,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,1,10m,Gaylussacia,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,2,20m,Rubus,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,2,20m,Gaylussacia,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,2,15m,Rubus,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,2,15m,Gaylussacia,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,2,10m,Rubus,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,2,10m,Gaylussacia,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,2,5m,Gaylussacia,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,3,20m,Gaylussacia,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,3,15m,Rubus,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,3,15m,Gaylussacia,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,3,10m,Gaylussacia,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,3,5m,Gaylussacia,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,3,5m,Gaultheria,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
38,3,5m,Rubus,,,0,absent,,4/25/2022,4/25/2022,6/13/2025,6/13/2025,B,38-1,,
300,4,5m,Rubus,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,4,10m,Rubus,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,4,15m,Rubus,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,4,20m,Rubus,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,4,20m,Vaccinium,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,4,20m,Gaylussacia,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,5,5m,Rubus,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,5,5m,Vaccinium,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,5,5m,Gaylussacia,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,5,5m,Gaultheria,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,5,10m,Gaultheria,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,5,10m,Rubus,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,5,10m,Gaylussacia,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,5,15m,Rubus,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,5,15m,Gaylussacia,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,5,15m,Vaccinium,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,5,20m,Rubus,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,5,20m,Gaylussacia,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,6,5m,Rubus,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,6,5m,Gaylussacia,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,6,10m,Rubus,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,6,10m,Gaylussacia,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,6,15m,Rubus,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,6,15m,Gaylussacia,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
300,6,15m,Gaultheria,,,0,absent,,5/22/2019,5/22/2019,5/11/2025,5/11/2025,C,300-1,,
