SGL,Transect #,TransectMeterPlot,Genus,Species,Species common,Daubenmeyer,Heading,BurnDate,YearSinceBurn,CollectedDate,DateCollected,Time Category,Burn Unit,Days Since Burn,Notes
38,8,10m,Vaccinium,angustifolium,lowbush blueberry,2,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,10m,Gaylussacia,baccata,black huckleberry,2,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,10m,Quercus,ilicifolia,scrub oak,4,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,10m,Kalmia,angustifolia,sheep laurel,1,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,5m,Dennstaedtia,punctilobula,hay-scented fern,2,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,5m,Kalmia,angustifolia,sheep laurel,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,5m,Vaccinium,angustifolium,lowbush blueberry,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,5m,Quercus,ilicifolia,scrub oak,2,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,5m,Gaylussacia,baccata,black huckleberry,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,5m,Rubus,flagellaris,northern dewberry,1,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,7,20m,Vaccinium,corymbosum,highbush blueberry,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,7,20m,Quercus,ilicifolia,scrub oak,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,7,15m,Kalmia,angustifolia,sheep laurel,2,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,7,15m,Vaccinium,corymbosum,highbush blueberry,4,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,7,15m,Hamamelis,virginiana,witch-hazel,2,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,7,15m,Aronia,melanocarpa,black chokeberry,1,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,7,10m,Quercus,ilicifolia,scrub oak,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,7,10m,Vaccinium,corymbosum,highbush blueberry,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,7,5m,Vaccinium,corymbosum,highbush blueberry,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,7,5m,Quercus,ilicifolia,scrub oak,2,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
183,7,20m,Gaylussacia,baccata,black huckleberry,4,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,20m,Rubus,allegheniensis,Allegheny blackberry,2,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,20m,Pteridium,aquilinum,western bracken fern,2,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,20m,Dennstaedtia,punctilobula,hay-scented fern,3,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,20m,Gaultheria,procumbens,teaberry,2,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,20m,Lysimachia,quadrifolia,whorled yellow loostrife,2,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,20m,Solidago,rugosa,wrinkleleaf goldenrod,2,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,20m,Acer,rubrum,red maple,1,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,20m,Avena fatua,,wild oats ,1,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,20m,Dichanthelium,sp.,dichanthelium sp.,1,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,15m,Gaylussacia,baccata,black huckleberry,3,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,15m,Pteridium,aquilinum,western bracken fern,2,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,15m,Dennstaedtia,punctilobula,hay-scented fern,3,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,15m,Solidago,rugosa,wrinkleleaf goldenrod,2,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,15m,Avena fatua,,wild oats ,2,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,15m,Sassafras,albidum,sassafrass,1,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,15m,Microstegium,vimineum,Japanese stiltgrass,1,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,10m,Pteridium,aquilinum,western bracken fern,2,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,10m,Dennstaedtia,punctilobula,hay-scented fern,3,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,10m,Carex,pensylvanica,PA sedge,3,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,10m,Lysimachia,quadrifolia,whorled yellow loostrife,2,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,10m,Sassafras,albidum,sassafrass,1,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,10m,Dichanthelium,sp.,dichanthelium sp.,3,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,10m,Solidago,rugosa,wrinkleleaf goldenrod,2,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,10m,Rubus,flagellaris,northern dewberry,1,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,10m,Gaultheria,procumbens,teaberry,2,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,5m,Carex,pensylvanica,PA sedge,4,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,5m,Pteridium,aquilinum,western bracken fern,3,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,5m,Gaultheria,procumbens,teaberry,2,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,5m,Vaccinium,angustifolium,lowbush blueberry,2,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,5m,Gaylussacia,baccata,black huckleberry,3,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,5m,Dichanthelium,sp.,dichanthelium sp.,3,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,7,5m,Solidago,rugosa,wrinkleleaf goldenrod,1,178,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,8,20m,Scirpus,cyperinus,woolgrass,3,175,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,8,20m,Solidago,rugosa,wrinkleleaf goldenrod,4,175,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,8,20m,Vaccinium,corymbosum,highbush blueberry,3,175,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,8,20m,Microstegium,vimineum,Japanese stiltgrass,2,175,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
183,8,20m,Rubus,hispidus,dewberry,1,175,4-29-2015,4-29-2015,8-16-2025,8-16-2025,D,183-2,3762,
